Age,Photos,# of Tags,Albums,Gender ,Emp,Profile,Cover,Orientation,Relationship,Posts,Replies,Children,Likes,Edu,Events,Friends
21,612,506,16,0,0,1,0,1,0,40,27,0,37,0,3,767
21,1334,0,28,0,0,0,0,1,0,18,8,0,79,0,12,1007
20,390,302,16,0,0,1,1,1,0,4,2,0,14,0,11,1368
25,9022,2123,140,0,1,1,0,1,1,50,35,1,332,0,2,923
22,158,72,13,1,1,1,1,1,0,3,1,0,31,0,8,971
20,1192,1105,26,0,1,1,0,1,0,11,1,0,149,0,2,1134
26,507,665,18,1,0,0,0,1,0,31,17,0,367,0,7,1152
21,162,334,10,1,1,1,0,1,0,10,4,0,77,0,1,528
23,385,309,32,0,0,1,0,1,1,654,546,0,146,0,5,741
24,70,1,6,1,0,1,0,1,0,2,5,0,28,0,3,660
24,944,0,110,0,1,1,0,1,0,63,4,0,230,0,10,733
21,233,4,11,1,0,1,0,1,0,14,2,0,35,0,17,747
24,576,432,10,1,1,1,0,1,1,535,434,0,330,0,5,730
22,2011,7,64,0,1,1,1,1,1,3,4,0,11,0,2,571
20,218,2,23,0,1,1,0,1,0,14,28,0,212,0,12,345
24,845,9,8,1,0,1,0,1,0,0,0,0,43,0,3,909
21,1374,0,42,1,1,1,1,1,0,9,11,0,47,0,2,1187
23,1200,3,36,0,1,1,1,1,0,2,1,0,33,0,1,804
20,209,0,12,1,1,1,1,1,1,0,0,0,186,0,20,496
21,1035,4,27,0,0,1,0,1,0,1,2,0,46,0,0,817
55,215,0,58,0,0,1,0,1,1,5,7,1,173,0,5,501
25,1688,1,106,1,1,0,0,1,1,0,0,0,2,0,10,548
39,106,1,10,0,1,1,0,1,1,16,31,1,77,0,1,409
17,164,1,9,1,1,0,0,1,1,0,18,0,477,1,2,616
21,312,0,11,0,0,1,0,1,1,0,2,0,2,0,4,291
21,720,1,18,0,1,1,0,1,0,2,21,0,83,0,2,386
25,659,9,37,1,1,1,0,1,1,15,44,0,69,0,10,1378
31,393,158,17,0,0,1,1,1,0,14,17,0,58,1,1,600
18,128,62,4,1,0,1,0,1,0,24,12,0,802,0,1,478
27,310,205,6,0,1,1,0,1,1,2,0,0,10,0,2,382
38,135,67,4,0,0,1,1,1,1,17,28,1,11,1,0,195
27,212,92,7,0,1,1,1,1,0,3,1,0,6,0,0,207
20,140,123,2,1,1,1,1,1,0,12,18,0,71,0,7,507
17,41,63,0,1,1,1,1,1,0,1,1,0,306,1,4,371
35,86,76,1,1,1,1,0,1,0,3,3,0,91,0,0,125
37,419,76,8,0,1,1,0,1,1,16,27,1,109,0,3,403
20,330,314,1,0,0,1,0,1,0,2,0,0,13,0,1,245
24,130,221,6,0,1,1,1,1,1,3,3,0,90,0,0,146
24,212,113,4,0,1,1,0,1,0,3,4,0,124,0,0,313
20,96,12,0,1,0,1,0,1,1,6,5,0,16,0,0,113
16,36,12,0,1,0,1,1,1,0,18,25,0,142,1,6,415
19,12,0,0,1,0,1,1,1,0,0,0,0,54,0,3,524
36,201,102,6,0,1,1,0,1,1,6,7,1,62,0,1,186
25,165,95,4,1,1,1,1,1,1,5,2,1,14,0,2,106
29,124,36,5,0,1,1,0,1,1,6,3,1,2,0,1,145
24,315,187,9,0,1,1,1,1,1,12,15,0,201,0,4,394
25,125,140,3,1,1,1,1,1,1,3,1,0,3,0,1,112
46,20,3,1,0,1,1,0,1,1,0,0,1,0,1,0,24
22,127,671,9,1,1,1,0,1,1,10,12,0,51,0,1,360
18,229,396,1,0,0,1,0,1,1,49,4,0,30,0,9,199
20,458,7191,8,1,1,1,1,1,1,24,1,0,36,0,7,201
18,308,392,9,0,0,1,1,1,0,46,9,0,4,0,20,578
27,47,431,1,1,1,1,1,1,0,44,23,0,31,0,19,187
22,40,199,1,0,0,1,1,1,1,0,18,0,36,0,16,485
37,53,300,7,0,0,1,0,1,0,0,19,0,41,0,27,179
23,8,430,5,1,1,1,0,1,0,13,5,0,17,0,26,293
40,3,19,6,0,1,0,1,1,0,21,40,0,36,0,9,91
36,100,536,6,0,0,0,0,1,0,32,44,0,14,0,13,433
19,205,264,1,1,0,0,1,1,1,26,10,0,18,0,6,36
35,34,326,1,0,1,1,0,1,1,8,50,0,14,0,7,384
22,537,20,2,1,1,0,0,1,1,44,30,0,30,0,15,457
25,31,214,4,1,1,0,1,1,1,49,45,1,25,0,10,557
23,319,11,4,1,1,1,0,1,0,7,1,0,47,0,17,318
33,88,466,6,1,1,1,1,1,0,13,42,0,18,0,29,273
18,369,579,7,0,0,0,1,1,0,6,46,0,31,0,30,534
26,157,202,6,0,0,1,1,1,0,16,45,1,3,0,5,511
39,95,442,1,0,1,1,1,1,1,19,31,0,40,0,12,471
39,285,325,1,0,0,1,1,1,0,41,16,0,9,0,4,287
20,50,35,4,1,1,0,1,1,0,43,48,1,38,0,17,50
20,1394,1008,34,0,0,1,0,1,0,12,10,0,30,0,0,926
21,93,237,7,1,0,1,0,1,0,24,16,0,93,0,1,727
22,45,379,4,1,1,1,1,1,1,12,10,0,20,0,2,816
21,348,677,13,1,1,1,0,1,1,168,31,0,95,0,5,1355
